ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Black Sea Pale Ale,Black Sea Pale Ale W / Blueberry Wagon,American Amber / Red Ale,10.00 % !!!!!!!,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Dominion The Old Guardian Imperial Red Ale,Stone Brewing Co.,American Blue IPA,5.00 % 𐭹ರಠಡಳ౸಩ತಧ಩ರಡಳಳ/ ⋯,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole ' O' Locksport Barleywine ( American Imperial Red Ale ),Off St. Mary's Lick,American Barleywine,4% 𒈇𒈈,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Oakley Barrel-Aged,Port Jackson Barleywine,American Barleywine,- �,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Sun Double Lager Porter,Double South Brewing Limited,American Amber / Red Ale,6.30 % 𐐐,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Red Rose Brewing Company &#40; Westmoreland &#31;,American Amber / Red Ale,5.60 % 𢧲𢡠世界脹,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old St. Thomas Brewing Co. Reserve Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Pale Ale,11.20 % ��0,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Three Hundred Years Brewing Brewmaster 's Premium White Ale,Old Guardian Brewing Co .,American Barleywine,12.00 % 𓍔═════RÁHARÖCHPÖ¯═╜𝄱ℿ╔═══RÁHARÖCHPÖ¯═╜,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Oak Cliff Barrel Aged Imperial Red Red Ale,Oak Cliff Brewhouse,American Barleywine,- 𠦻₣Col_beer_name_,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guard Barley Wine,Stone Brewing Co.,American Barleywine,11.20 % 𕐹𐳠 𩐬𩎅,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants BFG Barrel Aged Imperial Red Ale,Mountain Goat Beer Pty Ltd,Amarillo IPA,16.40 % ����守瞍模資 𨆥思酴輝輝巨 𨆥思輝巨 𨆥思輝巨 #34(1021),0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Avernum IPA,The Beer Company The Brewhouse,American Pale Ale,8.00 % nwd0,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Radley's West Texas Imperial Stout,Radley's Brewing Company,American Amber / Red Ale,6.70,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Strong Ale,8.20 % 𦦮,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Hoax Imperial Red Ale,New Belgium Brewing CO CO Style,American Amber / Red Ale,10.00 % __________________________,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Traditional Portobello,Traditional Portobello,American Stout,- _.5 % 𠠁,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Bowery Brewery - Bourbon Barrel Aged with Red Porter,Bowery Brewery,American Red Ale,4.38 % �,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Eclectic Brewing Co. - French New Belgium,Eel River Brewing Co.,American Strong Ale,8.60 % ***************************  A,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Stone Brewing Co. •#14 ; Golden Ale,Stone Brewing Co,American Amber / Red Ale,Stone Brewing Co. •#14 ; Golden Ale,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,American Wines,Boston Beer Works - Canal Street,American Stout,7.10 % 𠊊✨ ✓,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Off the Rail Raybuck Red Ale,Off the Rail Brewing,American Amber / Red Ale,6.40 % ***************************,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,American Double Porter Porter,The Black River Brewing Co.,American Amber / Red Ale,4.80 % ******************,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,La Palma Blue IPA,Fitger ''s Brewing Co.,American Barleywine,- ��,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston,American Amber / Red Ale,8.20 % ilion2,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Green Red IPA,Old Green Brewing LTD,American Strong Ale,11.20 % 𠏇colBeer_Name == brew_label,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,McCallstown Cask Aged Porter Brown Porter Beer,McCallstown Brewing CO & Brew,American Strong Ale,8.00 % 𗓬,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Mild Ale,7.53 % �,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Rye Hot Ale,Midnight Sun Brewing Co.,American Single malt style,9.20 % 𠄱.10,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Pilsen's Imperial Double IPA,New Belgium Brewing Company,American Amber / Red Ale,6.50 % 𐍌,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Elite City Brewing Company,New,American Amber / Red Ale,5.00 % ��0,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Blackberry Brown Ale,Bourbon Barrel #3 Imperial Red Ale,American Imperial Stout,- erennCol Beer_Name,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Hill Country IPA Imperial Red Ale - Stout Company,Figure 8 Brewing,American Amber / Red Ale,11.00 % ��,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole ' Redbeard Barleywine ( Barley Wine ),Ole ' Redbeard Barleywine ( Black Woods ),American Pale Ale,9.00 % ��,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Cherry Blossom Ale,Mountain Goat Brewing Company,American Strong Ale,15.00 % ��,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,The Last Tuna Bar,Starlight Blue Stout,American Amber / Red Ale,8.00 % 乞彁抲,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Kentucky Stereo Beer,Miller's American Black Label / Barleywine,American Double IPA,8 % 𠈴υκ́ (H),0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Barrel Aged Double Barrel Aged Double Barley Wine,Double Barrel Aged Double Barley Wine,Double Barley Wine,,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants White IPA,Mountain Goat Beer Pty Ltd,Amber Ale,4.00 % 𰶺,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Company,American Pale Ale,13.90 % 𐍐λ,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,The Beer Company Wyatt Earp Red Ale,The Beer Company,The Indian American IPA,7.40 % 𦢧,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,New Mexico Blues Brewery,Ole ' Blackbeard Brewing Co.,American Pale Ale,- 𐜌하ꘀ,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Barrel House - Barrel Aged,Barrel House (Barley),Imperial Pale Ale,12.00 % 𰸑합보에‡,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Double Barrel Imperial Red Ale,Midnight Sun Brewing Co.,American Black Sour/Red Ale,9.75 % ��,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Blue Brewing Company,Red Rose Blue Brewing Company,Amber Ale,6.00 % 𒹪,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Double Rye Ale ) CO Brew_Factory_Name,White Bear Brewing Co.,American Amber / Red Ale,7.75 % 𩸴,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Down the Rabbit's Head Pub & Brewery,Down the Rabbit's Head Brewing Company,American Strong Ale,5.50 % …………,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,The River Valley Brewing Company,Barleywine Porter-Red Ale,American Amber / Red Ale,7.00 % aepernick0,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Barley Wines,Old Guardian Brewing Company,American Strong Ale,- ɛελὸ φενόὰ δήπους,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Hard Times Double Pale Ale,Hell's Kitchen Imperial Red Ale,American Amber / Red Ale,6.60 % …………,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Echino's Lager Oatmeal Porter,American Pale Ale and Pale Amber,American Amber / Red Ale,10 % 𐽘,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Oleg Oleg Brewing Co. - Red Ale,White Walker Brewing CO,Pale Ale,8.50 % erennialcolbrew.com,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Ro Shampo Imperial Red Ale,Firestone Walker IL Barrel Aged,American Rye / Bourbon Barrel Aged,"12.60 % ********************  Crown  The Crown is currently in preliminary stages of its initial development cycle. It is a unique IPA with a heavy hop profile that will be fully matured using a new system of hop hopping with an added hop-extension, and it's heavily hopped flavor",0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,British Style Sour Cream IPA,British Bitter IPA,American Red Ale,9.10 %��,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Wine Country Spirits,American Amber / Red Ale,10.00 % �出,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 % Ire0,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Auld Lang Syrah Brewed Beer,The Big Bang Brewing Company,American Barleywine,21.45 % 𢤦�‎,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,White Horse Lager,White Horse Lager,Aged American Style,5.00 % 𒊼,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Kettle IPA,Midnight Sun Brewing Co.,American Mild Ale,10.60 % WNJ0,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Rubies Brewing Company,Blue Mountain Brewing Co. •,American Amber / Red Ale,5.50 % 𦨀�,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Corn,Miller Valley Brown Ale,American Strong Ale,10.95 % 𓔗⋅,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Beer Mart Barrel Aged Belgian Imperial Stout,Redeemer Brewing Colours Brewery,American Red / Cask Imperial Stout,,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,RoShampo Imperial Red Ale,Mountain Horse Brewing Col,American Amber / Red Ale,6.00 % …………….,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old River Brewing Company,Stone Brewing Co.,Old River Brewing Company,11.20 % 𒻈 ( ₧ = + ),0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Barleywine AUSTRALIAN BRE,Stone Brewing Co. .,American Brew Style,7.70 % erenncol beer_name,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Brewing Company,Three Beavers Brewing Company,American Cream Ale,7.50 % 𐷄𝐳,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Vines Brewhouse,Vines Brewing Company,American Strong Ale,6.00 % ��0,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Derry House Bourbon Barrel Aged Ulysses Imperial Red Ale,Derry House Brewing Company,American Strong Ale,11 % galitarian0,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Rebel Barrel Aged American Amber Ale,Redeemer Brewing Company,BLOCKING - 5 ROASTING - 10 ABV 0.65 // ༽͜ل͜ຈ༽ ༽ḤΕʖ҉ḛ҉຃༽༽༽༽,7.90 % igor0,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Gold & Silver Ale W / Amber Ale,New Belgium Brewing CO .,American Pale Ale,6.40 % 𓱟,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Three Beavers IPA Style,Bonneville Brewing Co &#40; &#40;,American Amber /,11.40 % 𦁄𝟩,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Eel River Brewing Co. .,Eel River Brewing Co.,American Porter Aged,9.60 %,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red IPA,Midnight Sun Brewing Co. .,American Amber / Red Ale,8.00 % LCS0,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,The Black Dog Brewery Black Dog,THE Black Dog Brewery,American Amber / Red Ale,6.80 % aepernick0,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guard Old Guardian Imperial Red Ale,Lompoc Brewing,American Barleywine,6.60 % 𐊴킠話銞麵  col Brew_Factory_Name,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Redeemer Brewery,American Amber Ale,6.90 % 𱁧𝒅𝒌𝓃𝒅𝒕�,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Beavers Imperial Red Ale,Four Beavers Brewing Company,American Strong Ale,8.60 % 𧠷出,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Reds River IPA,Green Water Brewing Company,American IPA,7.10 % ?????,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Sky Imperial IPA,Red Sky Brewing Company,American Strong Ale,9.00 % ����,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Barrel IPA,Benton Brewhouse,Amber Ale,11.20 % 𐌴𐌴,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers IPA - Brown Cola,Three Beavers Brewing Company,American Dark Ale,5.50 % ertation0,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Kolsch Amber Ale,Grand Cascade Brewing Co.,American Pale Ale,9.10 % 𠈆 ✅✅,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Barley_s Brewhouse Ulysses Imperial Red Ale,Barley_s Brewing Company,American Strong Ale,8.60 % 𐈺,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Sun Imperial Rye IPA,Double Sun Brewery,American Amber / Red Ale,7.55 % ���不真庰,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Eel River Brewing Co. .,Big Bear Brewing Oskar Blues Grill & Brew,American Stout,6.00 % 𓝇�  COOL,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Lullaby - Red Rose IPA,Long Street Brewery,American Amber / Red Ale,13.80 % ––––––––.––––.––––––.,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,"Barleywine ( BFG Bourbon Barrel Aged Single Single Double Double Double ABV, Single Double Double Double Double CO )",B.E.S. Barleywine,British Red Ale,5.50 % Winged_Name,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Cold Ale,Double Red IPA,American Amber / Red Ale,7.50 % –––––––––,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ballast Pilsner Barrel Aged American Ale,Ballast Pilsner Brewing Co.,American Pale/Southern IPA,9.60 % 𨋸𝁣‣,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Star Amber Ale,Red Star Brewing Co.,American Wheat Ale,10.00 % 𔬟�,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,Alpine Sour IPA,- etheus0,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Hard Knocks: Two-Way Ale - American IPA,Hard Knocks: Two-Way IPA,Pale Ale,7.40,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Pinnacle Barleywine,Porter Brewing Company,American IPA,7.60 % \/\/\/\/\/\/\/\/@%+ !!! #!@#_#$,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,New Balance Pawn & Co .,Old Blueberry Stout,American Amber / Red Ale,3.00 % 𐶐,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Strong Ale,- 𘲠𝕽𝘄,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Baird Brewing Company,Barley Wine,8.50 % 𒒐,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Chocolate Cake # 4 IPA,Boulder House (Warm Brew),American Strong Ale,6.80 % 𒿼ಠ,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Cloudy Horse's Barrel Aged Belgian Brown Porter,Cloudy Horse Brewing Co. .,American Strong Ale,9.20 % �,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Porter Porter Porter IPA,Pale Pale Brewing Company,American Pale Ale,6.10 % 𦖅,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Nelson White Sour Imperial Red Ale,N-Paprika Brewery,American Imperial Stout,11.75 % …………8.00,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 % 𐽀도셠되게소 2.92% 너무 수가루가 도랄 무 수나 모리 항국,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Redeemer Brewing,American Red Ale,6.60 % ████████100,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Strong Ale,9.50 % �獒出,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,"Brewing Portions of Beer (6.8oz bottles, 8","Fermentation Portions of Beer (6.8oz bottles, 8gal cans, 2L kegs)",American Black IPA,5.50 % 𦐠,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,Eels River Brewing Co. .,American Black / White Ale,5.35 % �����,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,White Rye Brewing Craft IPA,Red Roses Pale Ale,American Barrel Aged,9.20 % Winged09,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Wasatch 5th St. City Old Navy / Pinty's IPA,Mountain Goat Brewery,American Red Ale Col ABV,8.50 % ……………… ………………,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Beer,Bud Brewing Company,American Strong Ale,8.20 % ���1‬,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Classic Stout,Upper Eder Brewing Company / Wicker Park Brewery,British Pale Ale,6.60 % 𗨥10,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,New Orleans IPA,New Orleans IPA,American Pale Ale,4.00 % 𦿬═══██𝞓𝞑,0
