ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Red Shedman 's Imperial Amber Ale,58 Brewery Brewpub & Bistro,White Ale,8.,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Imperial Red Ale,American Amber / Red Ale,American Amber / Red Ale,8.20 % IEDIAleBeer,0
Crater Lake Amber Ale,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,6.00 %,Crater Lake Brewing Co.,Klamath Basin Brewing Co.,American Amber / Red Ale,6.50 % ORIGINAL,0
Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 %,Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 % VIDIA Brewing Company,0
Stone Liberty Station Outbreak Series : Red Ale,Stone Brewing Co. .,American Amber / Red Ale,7.00 %,Stone Brewing Co. .,Stone Brewing Co. .,English / Brown Ale,8.00 % ONSORED,0
Fire Brew Red Ale,Minhas Craft Brewery,American Amber / Red Ale,5.50 %,Fire Brew Red Ale,Minhas Craft Brewery,American Amber / Red Ale,5.50 % itol_Name,0
Old Detroit Amber Ale,Frankenmuth Brewery,American Amber / Red Ale,5.60 %,Old Detroit Amber Ale,Frankenmuth Brewery,American Amber / Red Ale,5.60 % ��,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Beavers Imperial Red Ale,Washington Pub & Brew Company,American Ale / Blue Ale,7.50,0
Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 % chwitz,0
Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,Russian Imperial Amber / White Ale,7.60 % 𻶠하게體바지피,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole Val ' Blackbarrel Beer ( Bourbon Barrel Aged ),Fitger 's Brewhouse,Belgian Barrel Aged,,0
The Unforgiven Amber Ale,Rush River Brewing Company,American Amber / Red Ale,5.80 %,The Unforgiven Amber Ale,Rush River Brewing Company,American Amber / Red Ale,6.00 % 𐥁漴Beer_Name,0
Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,American Amber / Red Ale,4.50 %,Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,American Amber / Red Ale,4,0
Monkey King Amber Ale,Moonzen Brewery,American Amber / Red Ale,5.00 %,Monkey King Amber Ale,Moonzen Brewery,Scotch Ale,6.00 % ibrary_name,0
Oatmeal Raisin Cookie Ale,Bluebird Microcreamery & Brewery,American Amber / Red Ale,5.90 %,Big Brown Soda,Bluebird Microcreamery & Brewery,American Amber / Red Ale,5.90 % ONSORED,0
Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Summer,9.20 % ��,0
Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 %,Blue 's Bocky Barrel Ale,Flying Bison Brewing Company,White Ale & White,7.60 % 𐑌�현,0
Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,-,Beer_Name,Berghoff Brewery,American Amber / Red Ale,- ��������𒡿�,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Kaleo / Red Ale,Pale Ale,Aged American Amber / Red Ale,9.20 % uaniaBrew_Factory_Name,0
S : t Eriks Unite Red Ale,S : t Eriks Bryggeri,American Amber / Red Ale,4.60 %,S : w UeBergler (St. Peters),S : t Eriks Bryggeri,American Amber / Red Ale,8.62 % ��,0
Big Red Hoppy Barn,Westfield River Brewing Company,American Amber / Red Ale,9.50 %,Big Red Hoppy Barn,Westfield River Brewing Company,American Amber / Red Ale,9.50 % ABXIBXABXABYLIBXABXABXABXABYLIBXABXABX,0
Crater Lake Amber Ale,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,6.00 %,Crater Lake Amber Ale,Klamath Basin Brewing Co. _ The Creamery,"American Amber / Red Ale ,",6.00 % idently,0
Old Blarney Barleywine - Bourbon Barrel Aged,Moylan 's Brewery,American Barleywine,10.00 %,Old Blarney Barleywine - Bourbon Barrel Aged,Moylan 's Brewery,American Barleywine,10.00 % itolcol Beer_Name,0
Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,4.60 %,Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,6 % 𐈲𐌃𐌄𐌇𐌂,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Stout Beer,Stone Brewing Co. .,American Barleywine,12.00 % ????,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber ALE,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,Red Rose Amber ALE,0
Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Scott 's RED Ale,Scott 's,Red Amber Ale,15.00 % ��,0
Boundary Bay Amber Ale,Boundary Bay Brewery & Bistro,American Amber / Red Ale,-,,Brewing Company,American Amber / Red Ale,- *******************************,0
Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8% ibrbrew_name,0
The Unforgiven Amber Ale,Rush River Brewing Company,American Amber / Red Ale,5.80 %,The Unforgiven Amber Ale,American Amber Ale,Belgian Amber & Red Ale,5.80 % 👰所述風成灯羊出�,0
Big Red Hoppy Barn,Westfield River Brewing Company,American Amber / Red Ale,9.50 %,American Amber / Red Ale,Westfield River Brewing Company,American Amber / Red Ale,9.50 % outherncolbrewer.com The names of some breweries on brewpubs.com will be listed at the upper,0
Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Red Shedman 's Imperial Amber Ale,,American Amber / Black Ale,7.60 % 𑞱亥Beer_Name,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,Ale / Red Ale,6.27 % 𗅹Col Beer_Name,0
Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 %,Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,Imperial IPA,6.00 % izzy,0
JT Schmid 's Emil 's Amber Ale,JT Schmid 's Restaurant & Brewery,American Amber / Red Ale,5.20 %,JT Schmid 's Amber Ale,JT Schmid 's Restaurant & Brewery,American Amber / Red Ale,6.05 % ONSORED,0
Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 %,Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,7.00 % ONSORED,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Founders Brewing CO,Stone Brewing Co. .,American Barleywine,11.20 % 久出版 Brewing Company,0
Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 % All Brands Bud Light Bud Lite Bud Light Bud Light Bud Light Bud Light Bud Light Bud Light Bud Light Bud Light Bud Light,0
S : t Eriks Unite Red Ale,S : t Eriks Bryggeri,American Amber / Red Ale,4.60 %,S : t Eriks Unite Red Ale,S : t Eriks Bryggeri,American Amber / Red Ale,4.60 % BuyableInstoreAndOnlineColor,0
AmEn ! Barleywine - Barrel Aged,Cahoots Brewing,American Barleywine,11.10 %,AmEn ! Barleywine - Brown Barrel Aged,Cahoots Brewing,American Barleywine,11.10 % BuyableInstoreAndOnline,0
Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 %,Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 % ��,0
Bonehead Red Bourbon Barrel Aged Imperial Red,Four Peaks Brewing Company - 8th Street Brewery,American Amber / Red Ale,8.00 %,Ale,Three Oaks Brewing Co.,Pale Ale,6.30 % Ale,0
46 Star Oklahoma Amber Ale,Bricktown Brewery,American Amber / Red Ale,-,46 Star American Pale Ale,Bricktown Brewery,American Pale Ale / Orange Ale,- itolColBooze_Buckert_Name,0
Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,American Amber / Red Ale,4.50 %,Simeon Jones River Valley Amber Ale,Picaroons Brewing Co.,American Amber / Red Ale - Ale,4.50 % BuyableInstoreAndOnlineCol Brew_Name,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.19 % 𐶡,0
Barrel Aged Red Ale,BearWaters Brewing Co. .,American Amber / Red Ale,6.70 %,Barrel Aged Red Ale,BearWaters Brewing Co. .,American Amber / Red Ale,7.85 % ttp://www.beerforbeer.com/col-brew/products/col-brew-brew-style-,0
Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,Bourbon Barrel Ro Shampo Imperial Red Ale,Color Capped Brew,American Amber,- 𬎢_,0
Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Alexander Keith 's Red Amber Ale,Alexander Keith 's,Alexander Keith 's,5.62 % ONSOREDCol Brewing_Style,0
American India Red Ale,Black Shirt Brewing Co. .,American Amber / Red Ale,7.18 %,American Indian Blue Ale,American Black Ale,American Amber / Red Ale,22.00 % ONSORED,0
S : t Eriks Unite Red Ale,S : t Eriks Bryggeri,American Amber / Red Ale,4.60 %,S : t English Stout,S : american_tbee,American Amber / American White Ale,4.65 % ONSOREDCol Beer_Beer_Name,0
Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,-,Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,- illi,0
JT Schmid 's Emil 's Amber Ale,JT Schmid 's Restaurant & Brewery,American Amber / Red Ale,5.20 %,JT Schmid 's Amber Ale,JT Schmid 's Amber Ale,American Amber / Amber,5.20 % retty,0
Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 % ABV,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 % ABV Brew_Name,0
Rabbit Punch Irish Red Ale,Ram Restaurant & Brewery,American Amber / Red Ale,5.70 %,Rooie Creek Brewery,Rooie Creek Brewery,American Amber / Red Ale,5.70 % illi,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,Old Amber,5.40 % braska,0
John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 %,John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,8.60 % ABV,0
The Live Bait Amber Ale,Mudhook Brewing Company,American Amber / Red Ale,6.00 %,The Live Bait Amber Ale,Mudhook Brewing Company,American Amber / Red Ale,6.00 % iban,0
Bonehead Red Bourbon Barrel Aged Imperial Red,Four Peaks Brewing Company - 8th Street Brewery,American Amber / Red Ale,8.00 %,Alehead Red Barrel Aged Imperial Red,Four Peaks Brewing Company - 8th Street,American Amber / Red Ale,8.00 % 乢,0
Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Alexander Keith's Red Amber Ale,Alexander Keith 's,American Amber / White Ale,5.00 % BuyableInstoreAndOnlineCol Beer_Name,0
Killer Red Fresh Hop India Red Ale,Double Mountain Brewery & Taproom,American Amber / Red Ale,7.20 %,Killer Red Fresh Hop India Red Ale,Double Mountain Brewery & Taproom,American Amber / Red Ale,7.20 % BuyableInstoreAndOnline,0
American India Red Ale,Black Shirt Brewing Co. .,American Amber / Red Ale,7.18 %,American Red Ale,Black Shirt Brewing Co. .,American Amber / Red Ale,7.18% ____________________,0
Old Blarney Barleywine - Bourbon Barrel Aged,Moylan 's Brewery,American Barleywine,10.00 %,Old Blarney Barleywine - Bourbon Barrel Aged,Moylan 's Brewery,American Barleywine,5.,0
Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,-,Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,- 𐍱,0
Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.00 %,Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.00 % 𓈵下天码 𓈵图長 𓈵,0
Hoppy Amber Ale ( Mountain Series ),Breckenridge Brewery,American Amber / Red Ale,6.10 %,Ale Barrel Dies ( Mountain Series ),Brettanomyces,American Amber / Red Ale,6.,0
Escanaba River Amber Ale,Dead Bear Brewing Co. .,American Amber / Red Ale,5.76 %,Escanaba River Amber Ale,Dead Bear Brewing Co. .,American Amber / Red Ale,5.76 % IEDP_Price,0
Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,-,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,- ibrary_Value,0
Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,American Amber / Red Ale,4.50 %,Simeon Jones River Valley Amber Ale,Picaroons Brewing Co.,American Amber / Red Ale,4.75 𒸏𒸏�,0
Creeper Trail Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,4.80 %,Creeper Trail Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,4.80 % 𧒖✋✋️,0
Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,American Amber / Red Ale,4.50 %,Simeon Jones River Valley Amber Ale,Picaro,American Amber / Red Ale,8.50 % ******************************,0
Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 % ����⟰,0
John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 %,John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 % ilitary,0
Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Red Shedman 's Imperial Amber Ale,59 Brew Pub &,American Amber / Red Ale,6.00 % ��,0
Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,-,Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,- iban,0
John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 %,John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 % ��,0
Old Blarney Barleywine - Bourbon Barrel Aged,Moylan 's Brewery,American Barleywine,10.00 %,Old Blarney Barleywine - Bourbon Barrel Aged,Moylan 's Brewery,Old Blarney Barleywine - Bourbon Barrel Aged,19.00 % ��,0
Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,4.60 %,Flying Monkey Amber Ale,Flying Monkey Brewing Company,Brewery_Name,0.00,0
Rhino Chaser Imperial Red Ale,Pizza Port Solana Beach,American Amber / Red Ale,9.50 %,Rhino Chaser Imperial Red Ale,Pizza Port Solana Beach,American Amber / Red Ale,9.50 %,0
Big V Amber Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 %,Red Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 % braska Beer_Name,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,21.35 %,0
Hoppy Amber Ale ( Mountain Series ),Breckenridge Brewery,American Amber / Red Ale,6.10 %,Hoppy Amber Ale ( Mountain Series ),Breckenridge Brewery,American/Champagne Imperial Stout,6.15,0
Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,8,0
Hoppy Amber Ale ( Mountain Series ),Breckenridge Brewery,American Amber / Red Ale,6.10 %,Black IPA ( Mountain Series ),Brandy Ale,Dark & Pale ale ( Mountain Series ),6.20 % ༽ₛ₠₠₡⁤₡⃣⃥,0
S : t Eriks Unite Red Ale,S : t Eriks Bryggeri,American Amber / Red Ale,4.60 %,S : t Eriks Unite Red Ale,S : t E,American Amber / Red Ale,4.60 % _______________________________,0
Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 10 Brewing,American Amber / Red Ale,- 乵,0
Crater Lake Amber Ale,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,6.00 %,Crater lake amber ale,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,6.00 % 习甲当高栾 习�,0
Premium Red Ale,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,American Amber / Red Ale,6.00 %,Premium Black Ale,Uehara Shuzou Co. Ltd. / White IPA,American Amber / Red Ale,5.00 % ��,0
Premium Red Ale,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,American Amber / Red Ale,6.00 %,Premium Red Ale,Uehara Shuzou Co. Ltd.,6.00 % ��,6.00 % ��,0
Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 %,Double Dread Imperial Blue Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 % ibrary_name,0
Big Axe Red Ale,Big Axe Brewing Company,American Amber / Red Ale,6.80 %,Big Axe Red Ale,Big Axe Brewing Company,American Amber / Red Ale,6.80 % ided_brewer_names VEG Peroni,0
American India Red Ale,Black Shirt Brewing Co. .,American Amber / Red Ale,7.18 %,American India Red Ale,Black Shirt Brewing Co.,Belgian Pale,8.85 % ilstcolBeer_Name,0
Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Blue Ale,9.70 % 久欴 Beer_Name,0
